epoch,accuracy,loss,val_accuracy,val_loss
0,0.45316377,1.4994116530390562,0.5321044921875,1.293273440917964
1,0.5452716,1.2590201999552677,0.5524574518203735,1.2354401358768203
2,0.56494176,1.203179199491591,0.5615708231925964,1.2120126217162246
3,0.5776937,1.1669393329177673,0.5631234645843506,1.2060769580583286
4,0.5874159,1.137805234478136,0.5636559128761292,1.2099426997464993
5,0.5963428,1.113192868448572,0.5654181241989136,1.2128470889150484
